,base_market,quote_market,hedge_ratio,half_life
0,AAVE-USD,CRV-USD,81.49928428096617,4.0
1,AAVE-USD,FIL-USD,15.950269638555255,4.0
2,AAVE-USD,DOT-USD,13.304124236364645,4.0
3,ZEC-USD,ETH-USD,0.028607978997918983,3.0
4,ZEC-USD,SOL-USD,1.9007497876610704,3.0
5,ZEC-USD,CRV-USD,43.67819527428251,6.0
6,ZEC-USD,FIL-USD,8.549440518098052,6.0
7,ZEC-USD,BTC-USD,0.0020013875362293798,2.0
8,ZEC-USD,LINK-USD,6.52651237802117,3.0
9,ZEC-USD,ICP-USD,7.981670516748456,6.0
10,ZEC-USD,DOT-USD,7.1232220875203005,5.0
11,ZEC-USD,NEAR-USD,18.79599053928741,6.0
12,ZEC-USD,EOS-USD,42.731701774495356,7.0
13,ZEC-USD,UNI-USD,6.832062240117798,5.0
14,ZEC-USD,XMR-USD,0.2649900506206944,6.0
15,ZEC-USD,XLM-USD,502.4872060150723,6.0
16,ALGO-USD,1INCH-USD,0.4652834598707974,7.0
17,ALGO-USD,ZRX-USD,1.0651687946215633,7.0
18,ALGO-USD,UNI-USD,0.03699710022250692,2.0
19,ALGO-USD,ETC-USD,0.011195108457197867,4.0
20,ETH-USD,UMA-USD,783.1231356343765,2.0
21,ETH-USD,1INCH-USD,3001.4307472206538,3.0
22,ETH-USD,ENJ-USD,3636.464467717413,3.0
23,ETH-USD,SNX-USD,642.9013242490388,4.0
24,ETH-USD,SUSHI-USD,1175.4889934616706,7.0
25,ETH-USD,FIL-USD,298.52739352896873,3.0
26,ETH-USD,CELO-USD,2137.663106983264,3.0
27,ETH-USD,ATOM-USD,117.61850597420631,4.0
28,ETH-USD,XTZ-USD,1452.8815797187842,2.0
29,ETH-USD,YFI-USD,0.2135230904002069,2.0
30,ETH-USD,TRX-USD,25770.440319016197,1.0
31,ETH-USD,ZRX-USD,6869.5325383917225,4.0
32,ETH-USD,MKR-USD,2.3747794100491695,2.0
33,ETH-USD,UNI-USD,238.7205293620416,1.0
34,ETH-USD,ETC-USD,72.23578357383025,2.0
35,ETH-USD,LTC-USD,17.33565425929028,4.0
36,ETH-USD,MATIC-USD,1452.5286033765701,7.0
37,UMA-USD,CELO-USD,2.7287877834918755,8.0
38,UMA-USD,TRX-USD,32.891066137595935,8.0
39,UMA-USD,UNI-USD,0.3045820649173969,5.0
40,1INCH-USD,ZRX-USD,2.2889073403473184,6.0
41,SOL-USD,FIL-USD,4.497740766566188,6.0
42,SOL-USD,LINK-USD,3.433354713377918,3.0
43,SOL-USD,ICP-USD,4.19919809848018,7.0
44,SOL-USD,NEAR-USD,9.88767910072474,7.0
45,SOL-USD,EOS-USD,22.480187217832118,8.0
46,SOL-USD,XMR-USD,0.13940287889756325,5.0
47,ADA-USD,COMP-USD,0.007282594114066862,7.0
48,ADA-USD,UNI-USD,0.0568537435026454,2.0
49,ADA-USD,BCH-USD,0.0028633411243635725,8.0
50,ENJ-USD,ATOM-USD,0.032336698790298775,8.0
51,ENJ-USD,DOGE-USD,4.951085831684099,6.0
52,ENJ-USD,LTC-USD,0.004766594796028712,6.0
53,ENJ-USD,MATIC-USD,0.3997209534408625,8.0
54,CRV-USD,XTZ-USD,0.9517316845134248,8.0
55,CRV-USD,BTC-USD,4.5788890617046525e-05,2.0
56,CRV-USD,LINK-USD,0.14930588118062565,4.0
57,CRV-USD,COMP-USD,0.020029531387922864,7.0
58,CRV-USD,YFI-USD,0.0001398912846674179,6.0
59,CRV-USD,DOT-USD,0.16318494131849043,3.0
60,CRV-USD,TRX-USD,16.87987429255903,7.0
61,CRV-USD,EOS-USD,0.977686899144449,6.0
62,CRV-USD,MKR-USD,0.0015557370378976518,7.0
63,CRV-USD,UNI-USD,0.1563947646906716,2.0
64,CRV-USD,ETC-USD,0.047324605928216516,4.0
65,CRV-USD,BCH-USD,0.007875261888304216,7.0
66,CRV-USD,XLM-USD,11.494621647929195,6.0
